gene,in_hvg_panel
ANXA1,True
BCL2L1,True
BGN,True
BIRC3,True
CAV1,True
CCND2,True
CD38,True
CD44,True
CLU,True
CTNNB1,True
DCN,True
DPYD,True
EMP1,True
ERBB2,True
EREG,True
F2,True
HGF,True
HMOX1,True
HSPB1,True
IER3,True
IFNB1,True
IL1A,True
IL1B,True
IL6,True
KRT18,True
LEF1,True
LUM,True
MMP2,True
NEDD9,True
PDGFRB,True
PLAT,True
PLCB2,True
SOD2,True
TGFBR3,True
TIMP1,True
TIMP3,True
TNF,True
TNFSF10,True
TXNIP,True
ADD1,False
AIFM3,False
ANKH,False
APP,False
ATF3,False
AVPR1A,False
BAX,False
BCAP31,False
BCL10,False
BCL2L10,False
BCL2L11,False
BCL2L2,False
BID,False
BIK,False
BMF,False
BMP2,False
BNIP3L,False
BRCA1,False
BTG2,False
BTG3,False
CASP1,False
CASP2,False
CASP3,False
CASP4,False
CASP6,False
CASP7,False
CASP8,False
CASP9,False
CCNA1,False
CCND1,False
CD14,False
CD2,False
CD69,False
CDC25B,False
CDK2,False
CDKN1A,False
CDKN1B,False
CFLAR,False
CREBBP,False
CTH,False
CYLD,False
DAP,False
DAP3,False
DDIT3,False
DFFA,False
DIABLO,False
DNAJA1,False
DNAJC3,False
DNM1L,False
EBP,False
EGR3,False
ENO2,False
ERBB3,False
ETF1,False
F2R,False
FAS,False
FASLG,False
FDXR,False
FEZ1,False
GADD45A,False
GADD45B,False
GCH1,False
GNA15,False
GPX1,False
GPX3,False
GPX4,False
GSN,False
GSR,False
GSTM1,False
GUCY2D,False
H1-0,False
HMGB2,False
IFITM3,False
IFNGR1,False
IGF2R,False
IGFBP6,False
IL18,False
IRF1,False
ISG20,False
JUN,False
LGALS3,False
LMNA,False
MADD,False
MCL1,False
MGMT,False
NEFH,False
PAK1,False
PDCD4,False
PEA15,False
PLPPR4,False
PMAIP1,False
PPP2R5B,False
PPP3R1,False
PPT1,False
PRF1,False
PSEN1,False
PSEN2,False
PTK2,False
RARA,False
RELA,False
RETSAT,False
RHOB,False
RHOT2,False
RNASEL,False
ROCK1,False
SAT1,False
SATB1,False
SC5D,False
SLC20A1,False
SMAD7,False
SOD1,False
SPTAN1,False
SQSTM1,False
TAP1,False
TGFB2,False
TIMP2,False
TNFRSF12A,False
TOP2A,False
TSPO,False
VDAC2,False
WEE1,False
XIAP,False
